collisionID,trackID,mcID,eta,pt,p,phi,motherPDG,nClusters,trackType,pDca,chi2,chi2MatchMCHMID,rabs,isPrompt,tracktime,sign
714,-5,549781,-2.54795,0.337675,2.1711,2.35398,211,10,3,35.7693,0.222656,0.173828,63.1816,1,12.477873,1
714,22,549781,-2.99464,0.433164,4.33777,2.12373,211,10,0,35.7693,282,0.173828,63.1816,1,12.477873,1
723,25,558927,-2.87139,0.646873,5.73072,-1.79,211,11,2,47.8824,92.5,-1,45.762,1,174.65567,1
723,-5,558927,-3.49111,0.146464,2.40587,-2.53189,211,11,4,47.8824,0.445312,-1,45.762,1,174.65567,1
817,-5,625861,-2.90038,0.361646,3.29748,3.00983,211,10,3,102.201,0.601562,1.72656,27.0029,0,37.42445,-1
817,26,625861,-3.20588,0.6263,7.74037,2.81723,211,10,0,102.201,1416,1.72656,27.0029,0,37.42445,-1
830,-5,634143,-2.65705,1.60943,11.5271,2.80685,411,10,3,40.829,0.0522461,0.695312,69.5038,0,12.463599,-1
830,28,634143,-2.69316,1.89608,14.0746,2.87378,411,10,0,40.829,42.75,0.695312,69.5038,0,12.463599,-1
853,-5,650310,-3.14097,0.22031,2.55224,2.65339,211,11,3,34.575,0.945312,5.28125,41.3702,1,860.818604,1
853,30,650310,-3.19799,0.391849,4.80487,2.04072,211,11,0,34.575,17.625,5.28125,41.3702,1,860.818604,1
865,-5,660279,-2.84826,0.331311,2.86843,3.12467,211,8,3,38.8097,0.10791,0.582031,58.0804,1,12.45047,1
865,34,660279,-2.37118,1.69765,9.17022,2.92456,211,8,0,38.8097,54784,0.582031,58.0804,1,12.45047,-1
897,37,691738,-3.52162,0.477167,8.0805,-1.4591,211,10,2,143.405,540,-1,20.0463,1,-24.930386,1
897,-5,691738,-2.7671,0.357511,2.85567,-0.66806,211,10,4,143.405,0.204102,-1,20.0463,1,-24.930386,1
992,-5,772780,-3.69182,0.895301,17.9699,-2.73063,211,10,3,226.185,0.0269775,0.498047,17.7281,1,12.494932,1
992,38,772780,-3.29841,2.04353,27.6966,-2.97295,211,10,0,226.185,156672,0.498047,17.7281,1,12.494932,1
1117,-6,878340,-2.69908,0.324513,2.42304,-0.512112,211,11,3,24.5041,0.211914,0.369141,57.4761,0,-87.324631,-1
1117,40,878340,-2.85925,0.524489,4.59079,-0.167129,211,11,0,24.5041,44.25,0.369141,57.4761,0,-87.324631,-1
1134,-6,890610,-2.8411,0.256626,2.20607,0.228762,411,10,3,13.6058,0.306641,5,60.1687,1,12.478437,1
1134,42,890610,-2.90936,0.4803,4.41865,0.242265,411,10,0,13.6058,13.375,5,60.1687,1,12.478437,1
1227,-6,954683,-3.74284,0.167965,3.54756,-0.053614,211,9,3,19.0761,0.229492,0.929688,28.7736,1,12.481001,-1
1227,46,954683,5.08304,0.205643,16.582,-2.28193,211,9,0,19.0761,4.29E+06,0.929688,28.7736,1,12.481001,-1
1312,49,1027436,-3.37095,0.41199,6.00278,1.11172,321,11,2,22.102,406,-1,26.8959,1,74.856071,1
1312,-6,1027436,-3.20305,0.119836,1.47687,1.09859,321,11,4,22.102,0.443359,-1,26.8959,1,74.856071,1
1338,-6,1044570,-2.4587,0.314038,1.84892,-0.48575,421,10,3,136.396,0.363281,6.09375,24.2821,1,12.482288,-1
1338,52,1044570,-3.17495,0.428273,5.13229,-0.359059,421,10,0,136.396,50.75,6.09375,24.2821,1,12.482288,-1
1353,-6,1053584,-2.75215,0.232147,1.82701,-0.436498,211,11,3,23.1055,0.337891,1.39844,56.2667,1,286.915161,-1
1353,54,1053584,-2.86201,0.456837,4.00961,-0.381982,211,11,0,23.1055,6.03125,1.39844,56.2667,1,286.915161,-1
1402,57,1095560,-3.31167,0.435189,5.97676,0.864624,211,10,2,92.5625,438,-1,19.2169,1,548.908142,1
1402,-6,1095560,-2.93648,0.224709,2.12379,0.198462,211,10,4,92.5625,0.306641,-1,19.2169,1,548.908142,1
1557,-6,1203724,-3.05057,0.475064,5.02967,2.41328,211,11,3,34.7767,0.166016,1.38281,53.4,1,187.080185,1
1557,58,1203724,-3.00922,0.73359,7.45358,2.11219,211,11,0,34.7767,38.5,1.38281,53.4,1,187.080185,1
