collisionID,trackID,mcID,eta,pt,p,phi,motherPDG,nClusters,trackType,pDca,chi2,chi2MatchMCHMID,rabs,isPrompt,tracktime,sign
673,-175,1666896,-3.58003,1.74968,31.4089,3.08377,411,10,3,90.4436,0.138672,0.929688,25.0486,1,12.475491,1
679,-175,1680215,-3.17489,0.597607,7.16111,-2.80693,321,12,3,109.132,0.216797,0.566406,28.0115,1,37.397404,-1
144,-1,257804,-3.1204,0.748128,8.4911,-2.49657,211,10,3,60.8829,0.0712891,0.470703,38.4742,1,-311.88031,-1
217,-1,376371,-3.45512,0.54862,8.69387,2.1922,411,10,3,180.149,0.0839844,0.464844,20.1266,1,162.184402,-1
331,-5,604799,-2.99564,0.614231,6.15712,-1.36163,211,10,3,159.475,0.102051,0.867188,25.3217,1,736.034363,1
471,-6,864058,-2.79451,1.0911,8.95563,2.88204,321,10,3,39.991,0.125977,1.42969,57.8941,1,187.131805,1
482,-6,888037,-3.55558,0.54205,9.49578,1.91895,211,11,3,28.9158,0.0839844,0.445312,27.0095,1,-62.380127,-1
113,-1,188122,-3.30886,0.905193,12.3968,-0.883856,211,10,3,42.6613,0.12793,1.125,37.3199,1,237.019058,-1
388,-8,645936,-3.03687,0.650934,6.79833,-0.531363,321,10,3,113.468,0.0493164,0.59375,41.2723,1,62.378471,-1
400,-8,665063,-3.15605,2.41902,28.448,1.71745,411,10,3,64.9957,0.0262451,0.298828,44.0935,1,-162.201477,1
499,-9,838501,-3.24774,1.00825,12.9918,1.23752,211,10,3,39.2465,0.453125,0.392578,36.7482,0,37.426125,1
501,-9,845337,-3.26945,0.70487,9.28135,2.93842,411,11,3,65.5217,0.121094,0.0957031,40.4418,1,12.478542,-1
41,-192,446655,-3.71229,1.28301,26.2835,-0.111353,211,12,3,148.964,0.179688,1.0,19.5482,1,12.475268,-1
